hid,name,longitude,latitude,distance_km,checkin_date,最早预定日期,最晚预定日期,search_quantity,try_quantity,order_quantity
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/19,20260119,20260208,181,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/14,20260119,20260614,8222,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/7,20260119,20260208,465,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/11,20260119,20260512,8598,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/13,20260119,20260208,361,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/6,20260119,20260208,340,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/26,20260119,20260208,366,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/16,20260119,20260208,239,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/14,20260119,20260208,392,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/12,20260119,20260208,234,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/29,20260119,20260208,228,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/5,20260119,20260208,169,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/17,20260120,20260208,144,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/6/22,20260119,20260208,212,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/27,20260119,20260208,426,\N,\N
1073354,广州丽柏国际酒店,113.33955,23.1367,7.100013262265022,2026/5/3,20260119,20260208,527,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/6/18,20260119,20260619,8971,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/8,20260119,20260509,9256,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/18,20260119,20260519,7712,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/19,20260119,20260519,7571,\N,\N
281000,广州圣丰索菲特大酒店,113.315885,23.138155,9.523213567785469,2026/5/20,20260120,20260520,7554,\N,\N
